RFC,NOMBRE,Descripcion,Cont/grs,Costo
PRO840423SG8,PROPIMEX,Coca cola 2 litros retornable,2,26.72
PRO840423SG8,PROPIMEX,Coca cola light 600 ml,0.6,17.24
PRO840423SG8,PROPIMEX,Coca cola  600 ml 20,0.6,17.24
PRO840423SG8,PROPIMEX,Coca Cola zero 600 ml,,13.89
PRO840423SG8,PROPIMEX,Coca lata 355 ml,0.355,17.24
PRO840423SG8,PROPIMEX,Coca oreo lata 355 ml,0.355,17.24
PRO840423SG8,PROPIMEX,Coca ligh lata 355 ml,0.355,17.24
PRO840423SG8,PROPIMEX,Coca 400 ml  14,0.4,12.93
PRO840423SG8,PROPIMEX,Coca de 250 ml 11,0.25,10.34
PRO840423SG8,PROPIMEX,Coca cola vidrio 500 ml 14,0.5,12.93
PRO840423SG8,PROPIMEX,Ameyal 3 litros,3,33.62
PRO840423SG8,PROPIMEX,Fresca 3 litros,3,33.62
PRO840423SG8,PROPIMEX,Fresca 2 litros,2,23.28
PRO840423SG8,PROPIMEX,Coca 1 litro desechable,1,26.72
PRO840423SG8,PROPIMEX,Powerade 1 litro,1,26.72
PRO840423SG8,PROPIMEX,Coca 3 litros retornable,3,33.62
PRO840423SG8,PROPIMEX,Fresca 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,Sprite 3 litro,3,33.62
PRO840423SG8,PROPIMEX,Sprite 600 ml,0.6,16.37
PRO840423SG8,PROPIMEX,Sprite 2 litros,2,23.28
PRO840423SG8,PROPIMEX,Monster 473 ml,0.473,32.76
PRO840423SG8,PROPIMEX,Predator 473 ml,0.473,16.38
PRO840423SG8,PROPIMEX,Mundet fresa 3 Litros,3,33.62
PRO840423SG8,PROPIMEX,Mundet 3 litros,3,33.62
PRO840423SG8,PROPIMEX,Mundet 2 litros ,2,25
PRO840423SG8,PROPIMEX,Mundet mandarina 2 L,2,23.28
PRO840423SG8,PROPIMEX,Ameyal 2 litros,2,21.56
PRO840423SG8,PROPIMEX,Mundet 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,Mundet 600 ml 18,,15.52
PRO840423SG8,PROPIMEX,Fanta 3 litros,3,33.62
PRO840423SG8,PROPIMEX,Fanta 2 litros,2,21.55
PRO840423SG8,PROPIMEX,Coca 1.750 LITROS,1.75,31.03
PRO840423SG8,PROPIMEX,Coca vidrio 1.25 RET LITROS,1.25,24.14
PRO840423SG8,PROPIMEX,Sidral 2 litros,2,25
PRO840423SG8,PROPIMEX,Coca 3 litros desechable 43,3,37.07
PRO840423SG8,PROPIMEX,COCA 3 LITROS 45,3,38.79
PRO840423SG8,PROPIMEX,COCA 3 LITROS 47,3,40.52
PRO840423SG8,PROPIMEX,Coca cola 2.25 Litros nr,2.25,31.9
PRO840423SG8,PROPIMEX,Ameyal 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,Delaware 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,Delaware 2 litros,2,23.28
PRO840423SG8,PROPIMEX,Yoli 2 Litros,2,23.28
PRO840423SG8,PROPIMEX,Yoli 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,Fanta 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,Suerox 630 ml,0.63,18.96
PRO840423SG8,PROPIMEX,Amper 473 ml,0.473,15.52
PRO840423SG8,PROPIMEX,Arizona 460 ml,0.46,14.65
PRO840423SG8,PROPIMEX,Arizona 680 ml,0.68,17.24
PRO840423SG8,PROPIMEX,Agua ciel limón 1 litro,1,14.65
PRO840423SG8,PROPIMEX,Fanta lata 355 ml,0.355,14.65
PRO840423SG8,PROPIMEX,Sensao 600 ml,0.6,16.38
PRO840423SG8,PROPIMEX,ciel mineral 600 ml,0.6,14.66
PRO840423SG8,PROPIMEX,Coca 2 litros desechable,2,33.62
PRO840423SG8,PROPIMEX,,,0
PRO840423SG8,PROPIMEX,Valle frut 3 litros,3,39
PRO840423SG8,PROPIMEX,Valle frut 2 litros,2,28
PRO840423SG8,PROPIMEX,Valle frut 600 ml,0.6,19
PRO840423SG8,PROPIMEX,Valle lata 413 ml,0.413,20
PRO840423SG8,PROPIMEX,Jugo del valle botella 413 ml,0.413,20
PRO840423SG8,PROPIMEX,Jugo del valle 1 litro,1,30
PRO840423SG8,PROPIMEX,Jugo de valle 473 ml,0.73,17
PRO840423SG8,PROPIMEX,Jugo de valle 250 ml,0.25,13
XAXX010101000,PUBLICO EN GENERAL,Electrolit 625 ml,0.625,23
XAXX010101000,PUBLICO EN GENERAL,Boing 500 ml,0.5,16
PRO840423SG8,PROPIMEX,Arandano 1 litro,1,31
XAXX010101000,PUBLICO EN GENERAL,Gatorate de 1 litro,1,27.59
EAM9412149L9,EMBOTELLADORA AGA DE MEXICO,Squirt 2 litro,2,23.28
